,eventDate,individualCount,decimalLatitude,decimalLongitude,day,month,year
123410,2001-09-09T00:00:00,120.0,-25.2667,-57.6167,9,9,2001
123614,2004-10-13T00:00:00,70.0,-38.8467,-62.1248,13,10,2004
123734,2003-11-06T00:00:00,1.0,-13.0558,-71.5452,6,11,2003
124912,2009-09-14T00:00:00,12.0,-17.9484,-63.1606,14,9,2009
125232,2004-09-30T00:00:00,32.0,-25.2667,-57.6167,30,9,2004
125519,2000-12-15T00:00:00,2.0,-25.2667,-57.6167,15,12,2000
125572,2001-11-19T00:00:00,10.0,-42.7656,-63.638000000000005,19,11,2001
126541,2006-11-25T00:00:00,1.0,-51.68600000000001,-57.7633,25,11,2006
126596,2005-10-26T00:00:00,6.0,-34.4617,-54.0415,26,10,2005
126637,2007-10-05T00:00:00,36.0,-25.2667,-57.6167,5,10,2007
127259,2009-11-08T00:00:00,1.0,-12.5749,-71.2,8,11,2009
127344,2007-11-04T00:00:00,,-34.6183,-54.2921,4,11,2007
127360,2000-11-26T00:00:00,,-36.2941,-56.7756,26,11,2000
127641,2002-11-17T00:00:00,1.0,-8.317789999999999,-63.4975,17,11,2002
127714,2004-03-17T00:00:00,1.0,-34.6543,-54.1427,17,3,2004
127739,2009-09-16T00:00:00,1.0,-0.377652,-78.1614,16,9,2009
127870,2003-09-14T00:00:00,,-21.1106,-58.79,14,9,2003
128037,2000-09-17T00:00:00,4.0,-25.2667,-57.6167,17,9,2000
128051,2007-11-03T00:00:00,,-34.6183,-54.2921,3,11,2007
128078,2003-10-06T00:00:00,,-20.23,-58.17,6,10,2003
